"","country","year","sex","age","cases"
"774","GT",2000,"f","0-14",41
"775","GT",2000,"f","15-24",199
"776","GT",2000,"f","25-34",167
"777","GT",2000,"f","35-44",175
"778","GT",2000,"f","45-54",135
"779","GT",2000,"f","55-64",87
"780","GT",2000,"f","65+",111
"781","GU",2000,"m","0-14",2
"782","GU",2000,"m","15-24",1
"783","GU",2000,"m","25-34",6
"784","GU",2000,"m","35-44",6
"785","GU",2000,"m","45-54",9
"786","GU",2000,"m","55-64",6
"787","GU",2000,"m","65+",9
"788","GU",2000,"f","0-14",0
"789","GU",2000,"f","15-24",3
"790","GU",2000,"f","25-34",1
"791","GU",2000,"f","35-44",2
"792","GU",2000,"f","45-54",5
"793","GU",2000,"f","55-64",2
"794","GU",2000,"f","65+",2
"795","GW",2000,"m","0-14",2
"796","GW",2000,"m","15-24",52
"797","GW",2000,"m","25-34",92
"798","GW",2000,"m","35-44",80
"799","GW",2000,"m","45-54",64
"800","GW",2000,"m","55-64",39
"801","GW",2000,"m","65+",19
"802","GW",2000,"f","0-14",4
"803","GW",2000,"f","15-24",30
"804","GW",2000,"f","25-34",46
"805","GW",2000,"f","35-44",47
"806","GW",2000,"f","45-54",24
"807","GW",2000,"f","55-64",15
"808","GW",2000,"f","65+",12
"809","GY",2000,"m","0-14",4
"810","GY",2000,"m","15-24",20
"811","GY",2000,"m","25-34",19
"812","GY",2000,"m","35-44",14
"813","GY",2000,"m","45-54",7
"814","GY",2000,"m","55-64",6
"815","GY",2000,"m","65+",9
"816","GY",2000,"f","0-14",1
"817","GY",2000,"f","15-24",11
"818","GY",2000,"f","25-34",8
"819","GY",2000,"f","35-44",7
"820","GY",2000,"f","45-54",5
"821","GY",2000,"f","55-64",5
"822","GY",2000,"f","65+",3
"823","HK",2000,"m","0-14",4
"824","HK",2000,"m","15-24",78
"825","HK",2000,"m","25-34",102
"826","HK",2000,"m","35-44",160
"827","HK",2000,"m","45-54",211
"828","HK",2000,"m","55-64",236
"829","HK",2000,"m","65+",578
"830","HK",2000,"f","0-14",5
"831","HK",2000,"f","15-24",65
"832","HK",2000,"f","25-34",115
"833","HK",2000,"f","35-44",86
"834","HK",2000,"f","45-54",44
"835","HK",2000,"f","55-64",45
"836","HK",2000,"f","65+",211
"837","HN",2000,"m","0-14",30
"838","HN",2000,"m","15-24",123
"839","HN",2000,"m","25-34",371
"840","HN",2000,"m","35-44",246
"841","HN",2000,"m","45-54",277
"842","HN",2000,"m","55-64",214
"843","HN",2000,"m","65+",43
"844","HN",2000,"f","0-14",25
"845","HN",2000,"f","15-24",21
"846","HN",2000,"f","25-34",269
"847","HN",2000,"f","35-44",258
"848","HN",2000,"f","45-54",270
"849","HN",2000,"f","55-64",160
"850","HN",2000,"f","65+",38
"851","HT",2000,"m","0-14",67
"852","HT",2000,"m","15-24",836
"853","HT",2000,"m","25-34",898
"854","HT",2000,"m","35-44",613
"855","HT",2000,"m","45-54",350
"856","HT",2000,"m","55-64",147
"857","HT",2000,"m","65+",118
"858","HT",2000,"f","0-14",96
"859","HT",2000,"f","15-24",914
"860","HT",2000,"f","25-34",857
"861","HT",2000,"f","35-44",513
"862","HT",2000,"f","45-54",275
"863","HT",2000,"f","55-64",132
"864","HT",2000,"f","65+",71
"865","HU",2000,"m","0-14",0
"866","HU",2000,"m","15-24",8
"867","HU",2000,"m","25-34",24
"868","HU",2000,"m","35-44",85
"869","HU",2000,"m","45-54",104
"870","HU",2000,"m","55-64",58
"871","HU",2000,"m","65+",27
"872","HU",2000,"f","0-14",1
"873","HU",2000,"f","15-24",7
"874","HU",2000,"f","25-34",17
"875","HU",2000,"f","35-44",19
"876","HU",2000,"f","45-54",22
"877","HU",2000,"f","55-64",10
"878","HU",2000,"f","65+",30
"879","IE",2000,"m","0-14",0
"880","IE",2000,"m","15-24",10
"881","IE",2000,"m","25-34",7
"882","IE",2000,"m","35-44",7
"883","IE",2000,"m","45-54",6
"884","IE",2000,"m","55-64",4
"885","IE",2000,"m","65+",12
"886","IE",2000,"f","0-14",0
"887","IE",2000,"f","15-24",13
"888","IE",2000,"f","25-34",8
"889","IE",2000,"f","35-44",13
"890","IE",2000,"f","45-54",6
"891","IE",2000,"f","55-64",7
"892","IE",2000,"f","65+",15
"893","IL",2000,"m","0-14",0
"894","IL",2000,"m","15-24",16
"895","IL",2000,"m","25-34",28
"896","IL",2000,"m","35-44",17
"897","IL",2000,"m","45-54",24
"898","IL",2000,"m","55-64",10
"899","IL",2000,"m","65+",31
"900","IL",2000,"f","0-14",2
"901","IL",2000,"f","15-24",11
"902","IL",2000,"f","25-34",15
"903","IL",2000,"f","35-44",7
"904","IL",2000,"f","45-54",3
"905","IL",2000,"f","55-64",7
"906","IL",2000,"f","65+",25
"907","IN",2000,"m","0-14",1588
"908","IN",2000,"m","15-24",20963
"909","IN",2000,"m","25-34",31090
"910","IN",2000,"m","35-44",30829
"911","IN",2000,"m","45-54",24230
"912","IN",2000,"m","55-64",15308
"913","IN",2000,"m","65+",8534
"914","IN",2000,"f","0-14",2250
"915","IN",2000,"f","15-24",14495
"916","IN",2000,"f","25-34",17287
"917","IN",2000,"f","35-44",11768
"918","IN",2000,"f","45-54",7516
"919","IN",2000,"f","55-64",4594
"920","IN",2000,"f","65+",2697
"921","IQ",2000,"m","0-14",21
"922","IQ",2000,"m","15-24",627
"923","IQ",2000,"m","25-34",317
"924","IQ",2000,"m","35-44",297
"925","IQ",2000,"m","45-54",205
"926","IQ",2000,"m","55-64",135
"927","IQ",2000,"m","65+",101
"928","IQ",2000,"f","0-14",37
"929","IQ",2000,"f","15-24",338
"930","IQ",2000,"f","25-34",241
"931","IQ",2000,"f","35-44",136
"932","IQ",2000,"f","45-54",134
"933","IQ",2000,"f","55-64",103
"934","IQ",2000,"f","65+",87
"935","IR",2000,"m","0-14",29
"936","IR",2000,"m","15-24",438
"937","IR",2000,"m","25-34",467
"938","IR",2000,"m","35-44",387
"939","IR",2000,"m","45-54",295
"940","IR",2000,"m","55-64",344
"941","IR",2000,"m","65+",642
"942","IR",2000,"f","0-14",77
"943","IR",2000,"f","15-24",593
"944","IR",2000,"f","25-34",410
"945","IR",2000,"f","35-44",322
"946","IR",2000,"f","45-54",320
"947","IR",2000,"f","55-64",407
"948","IR",2000,"f","65+",647
"949","IS",2000,"f","0-14",0
"950","IS",2000,"f","25-34",1
"951","IT",2000,"m","0-14",12
"952","IT",2000,"m","15-24",63
"953","IT",2000,"m","25-34",96
"954","IT",2000,"m","35-44",75
"955","IT",2000,"m","45-54",58
"956","IT",2000,"m","55-64",54
"957","IT",2000,"m","65+",112
"958","IT",2000,"f","0-14",6
"959","IT",2000,"f","15-24",38
"960","IT",2000,"f","25-34",58
"961","IT",2000,"f","35-44",33
"962","IT",2000,"f","45-54",13
"963","IT",2000,"f","55-64",19
"964","IT",2000,"f","65+",39
"965","JM",2000,"m","0-14",0
"966","JM",2000,"m","15-24",6
"967","JM",2000,"m","25-34",13
"968","JM",2000,"m","35-44",13
"969","JM",2000,"m","45-54",15
"970","JM",2000,"m","55-64",6
"971","JM",2000,"m","65+",5
"972","JM",2000,"f","0-14",1
"973","JM",2000,"f","15-24",8
"974","JM",2000,"f","25-34",8
"975","JM",2000,"f","35-44",7
"976","JM",2000,"f","45-54",2
"977","JM",2000,"f","55-64",5
"978","JM",2000,"f","65+",1
"979","JO",2000,"m","0-14",0
"980","JO",2000,"m","15-24",8
"981","JO",2000,"m","25-34",16
"982","JO",2000,"m","35-44",13
"983","JO",2000,"m","45-54",9
"984","JO",2000,"m","55-64",14
"985","JO",2000,"m","65+",2
"986","JO",2000,"f","0-14",0
"987","JO",2000,"f","15-24",8
"988","JO",2000,"f","25-34",9
"989","JO",2000,"f","35-44",1
"990","JO",2000,"f","45-54",2
"991","JO",2000,"f","55-64",2
"992","JO",2000,"f","65+",5
"993","JP",2000,"m","0-14",2
"994","JP",2000,"m","15-24",246
"995","JP",2000,"m","25-34",572
"996","JP",2000,"m","35-44",676
"997","JP",2000,"m","45-54",1494
"998","JP",2000,"m","55-64",1509
"999","JP",2000,"m","65+",3816
"1000","JP",2000,"f","0-14",5
"1001","JP",2000,"f","15-24",222
"1002","JP",2000,"f","25-34",464
"1003","JP",2000,"f","35-44",213
"1004","JP",2000,"f","45-54",292
"1005","JP",2000,"f","55-64",384
"1006","JP",2000,"f","65+",1958
"1007","KE",2000,"m","0-14",264
"1008","KE",2000,"m","15-24",3739
"1009","KE",2000,"m","25-34",6653
"1010","KE",2000,"m","35-44",3548
"1011","KE",2000,"m","45-54",1630
"1012","KE",2000,"m","55-64",630
"1013","KE",2000,"m","65+",414
"1014","KE",2000,"f","0-14",416
"1015","KE",2000,"f","15-24",3916
"1016","KE",2000,"f","25-34",4363
"1017","KE",2000,"f","35-44",1874
"1018","KE",2000,"f","45-54",831
"1019","KE",2000,"f","55-64",347
"1020","KE",2000,"f","65+",148
"1021","KG",2000,"m","0-14",4
"1022","KG",2000,"m","15-24",128
"1023","KG",2000,"m","25-34",227
"1024","KG",2000,"m","35-44",205
"1025","KG",2000,"m","45-54",115
"1026","KG",2000,"m","55-64",52
"1027","KG",2000,"m","65+",46
"1028","KG",2000,"f","0-14",6
"1029","KG",2000,"f","15-24",128
"1030","KG",2000,"f","25-34",146
"1031","KG",2000,"f","35-44",100
"1032","KG",2000,"f","45-54",41
"1033","KG",2000,"f","55-64",30
"1034","KG",2000,"f","65+",29
"1035","KH",2000,"m","0-14",26
"1036","KH",2000,"m","15-24",519
"1037","KH",2000,"m","25-34",1323
"1038","KH",2000,"m","35-44",1618
"1039","KH",2000,"m","45-54",1456
"1040","KH",2000,"m","55-64",1373
"1041","KH",2000,"m","65+",1058
"1042","KH",2000,"f","0-14",38
"1043","KH",2000,"f","15-24",457
"1044","KH",2000,"f","25-34",1157
"1045","KH",2000,"f","35-44",1649
"1046","KH",2000,"f","45-54",1798
"1047","KH",2000,"f","55-64",1459
"1048","KH",2000,"f","65+",892
"1049","KI",2000,"m","0-14",2
"1050","KI",2000,"m","15-24",9
"1051","KI",2000,"m","25-34",3
"1052","KI",2000,"m","35-44",3
"1053","KI",2000,"m","45-54",3
"1054","KI",2000,"m","55-64",8
"1055","KI",2000,"m","65+",2
"1056","KI",2000,"f","0-14",2
"1057","KI",2000,"f","15-24",5
"1058","KI",2000,"f","25-34",6
"1059","KI",2000,"f","35-44",3
"1060","KI",2000,"f","45-54",4
"1061","KI",2000,"f","55-64",1
"1062","KI",2000,"f","65+",3
"1063","KM",2000,"m","0-14",0
"1064","KM",2000,"m","15-24",18
"1065","KM",2000,"m","25-34",7
"1066","KM",2000,"m","35-44",14
"1067","KM",2000,"m","45-54",9
"1068","KM",2000,"m","55-64",3
"1069","KM",2000,"m","65+",4
"1070","KM",2000,"f","0-14",1
"1071","KM",2000,"f","15-24",9
"1072","KM",2000,"f","25-34",6
"1073","KM",2000,"f","35-44",12
"1074","KM",2000,"f","45-54",1
"1075","KM",2000,"f","55-64",2
"1076","KM",2000,"f","65+",1
"1077","KP",2000,"m","0-14",293
"1078","KP",2000,"m","15-24",928
"1079","KP",2000,"m","25-34",1508
"1080","KP",2000,"m","35-44",2927
"1081","KP",2000,"m","45-54",2519
"1082","KP",2000,"m","55-64",1167
"1083","KP",2000,"m","65+",651
"1084","KP",2000,"f","0-14",167
"1085","KP",2000,"f","15-24",683
"1086","KP",2000,"f","25-34",1121
"1087","KP",2000,"f","35-44",2004
"1088","KP",2000,"f","45-54",1524
"1089","KP",2000,"f","55-64",591
"1090","KP",2000,"f","65+",357
"1091","KR",2000,"m","0-14",19
"1092","KR",2000,"m","15-24",821
"1093","KR",2000,"m","25-34",1085
"1094","KR",2000,"m","35-44",988
"1095","KR",2000,"m","45-54",853
"1096","KR",2000,"m","55-64",731
"1097","KR",2000,"m","65+",901
"1098","KR",2000,"f","0-14",25
"1099","KR",2000,"f","15-24",546
"1100","KR",2000,"f","25-34",544
"1101","KR",2000,"f","35-44",393
"1102","KR",2000,"f","45-54",220
"1103","KR",2000,"f","55-64",295
"1104","KR",2000,"f","65+",795
"1105","KW",2000,"m","0-14",0
"1106","KW",2000,"m","15-24",10
"1107","KW",2000,"m","25-34",44
"1108","KW",2000,"m","35-44",32
"1109","KW",2000,"m","45-54",21
"1110","KW",2000,"m","55-64",11
"1111","KW",2000,"m","65+",5
"1112","KW",2000,"f","0-14",1
"1113","KW",2000,"f","15-24",11
"1114","KW",2000,"f","25-34",24
"1115","KW",2000,"f","35-44",12
"1116","KW",2000,"f","45-54",5
"1117","KW",2000,"f","55-64",3
"1118","KW",2000,"f","65+",1
"1119","KY",2000,"m","0-14",0
"1120","KY",2000,"m","15-24",0
"1121","KY",2000,"m","25-34",3
"1122","KY",2000,"m","35-44",1
"1123","KY",2000,"m","45-54",0
"1124","KY",2000,"m","55-64",1
"1125","KY",2000,"m","65+",0
"1126","KZ",2000,"m","0-14",36
"1127","KZ",2000,"m","15-24",1057
"1128","KZ",2000,"m","25-34",1409
"1129","KZ",2000,"m","35-44",1379
"1130","KZ",2000,"m","45-54",923
"1131","KZ",2000,"m","55-64",439
"1132","KZ",2000,"m","65+",218
"1133","KZ",2000,"f","0-14",84
"1134","KZ",2000,"f","15-24",999
"1135","KZ",2000,"f","25-34",1079
"1136","KZ",2000,"f","35-44",599
"1137","KZ",2000,"f","45-54",275
"1138","KZ",2000,"f","55-64",202
"1139","KZ",2000,"f","65+",204
"1140","LA",2000,"m","0-14",7
"1141","LA",2000,"m","15-24",92
"1142","LA",2000,"m","25-34",128
"1143","LA",2000,"m","35-44",166
"1144","LA",2000,"m","45-54",201
"1145","LA",2000,"m","55-64",177
"1146","LA",2000,"m","65+",176
"1147","LA",2000,"f","0-14",10
"1148","LA",2000,"f","15-24",59
"1149","LA",2000,"f","25-34",95
"1150","LA",2000,"f","35-44",131
"1151","LA",2000,"f","45-54",122
"1152","LA",2000,"f","55-64",91
"1153","LA",2000,"f","65+",71
"1154","LB",2000,"m","0-14",5
"1155","LB",2000,"m","15-24",16
"1156","LB",2000,"m","25-34",28
"1157","LB",2000,"m","35-44",20
"1158","LB",2000,"m","45-54",15
"1159","LB",2000,"m","55-64",17
"1160","LB",2000,"m","65+",14
"1161","LB",2000,"f","0-14",4
"1162","LB",2000,"f","15-24",31
"1163","LB",2000,"f","25-34",26
"1164","LB",2000,"f","35-44",9
"1165","LB",2000,"f","45-54",7
"1166","LB",2000,"f","55-64",4
"1167","LB",2000,"f","65+",6
"1168","LC",2000,"m","0-14",0
"1169","LC",2000,"m","15-24",0
"1170","LC",2000,"m","25-34",0
"1171","LC",2000,"m","35-44",1
"1172","LC",2000,"m","45-54",0
"1173","LC",2000,"m","55-64",1
"1174","LC",2000,"m","65+",2
"1175","LC",2000,"f","0-14",0
"1176","LC",2000,"f","15-24",1
"1177","LC",2000,"f","25-34",0
"1178","LC",2000,"f","35-44",1
"1179","LC",2000,"f","45-54",0
"1180","LC",2000,"f","55-64",1
"1181","LC",2000,"f","65+",0
"1182","LK",2000,"m","0-14",25
"1183","LK",2000,"m","15-24",266
"1184","LK",2000,"m","25-34",459
"1185","LK",2000,"m","35-44",695
"1186","LK",2000,"m","45-54",793
"1187","LK",2000,"m","55-64",484
"1188","LK",2000,"m","65+",360
"1189","LK",2000,"f","0-14",23
"1190","LK",2000,"f","15-24",312
"1191","LK",2000,"f","25-34",264
"1192","LK",2000,"f","35-44",176
"1193","LK",2000,"f","45-54",202
"1194","LK",2000,"f","55-64",144
"1195","LK",2000,"f","65+",113
"1196","LR",2000,"m","0-14",12
"1197","LR",2000,"m","15-24",133
"1198","LR",2000,"m","25-34",196
"1199","LR",2000,"m","35-44",127
"1200","LR",2000,"m","45-54",52
"1201","LR",2000,"m","55-64",17
"1202","LR",2000,"m","65+",26
"1203","LR",2000,"f","0-14",21
"1204","LR",2000,"f","15-24",140
"1205","LR",2000,"f","25-34",149
"1206","LR",2000,"f","35-44",88
"1207","LR",2000,"f","45-54",28
"1208","LR",2000,"f","55-64",16
"1209","LR",2000,"f","65+",16
"1210","LS",2000,"m","0-14",8
"1211","LS",2000,"m","15-24",165
"1212","LS",2000,"m","25-34",458
"1213","LS",2000,"m","35-44",517
"1214","LS",2000,"m","45-54",395
"1215","LS",2000,"m","55-64",198
"1216","LS",2000,"m","65+",76
"1217","LS",2000,"f","0-14",11
"1218","LS",2000,"f","15-24",222
"1219","LS",2000,"f","25-34",336
"1220","LS",2000,"f","35-44",195
"1221","LS",2000,"f","45-54",83
"1222","LS",2000,"f","55-64",36
"1223","LS",2000,"f","65+",29
"1224","LT",2000,"m","0-14",1
"1225","LT",2000,"m","15-24",38
"1226","LT",2000,"m","25-34",97
"1227","LT",2000,"m","35-44",145
"1228","LT",2000,"m","45-54",155
"1229","LT",2000,"m","55-64",74
"1230","LT",2000,"m","65+",68
"1231","LT",2000,"f","0-14",0
"1232","LT",2000,"f","15-24",20
"1233","LT",2000,"f","25-34",37
"1234","LT",2000,"f","35-44",39
"1235","LT",2000,"f","45-54",32
"1236","LT",2000,"f","55-64",22
"1237","LT",2000,"f","65+",48
"1238","LV",2000,"m","0-14",0
"1239","LV",2000,"m","15-24",53
"1240","LV",2000,"m","25-34",106
"1241","LV",2000,"m","35-44",124
"1242","LV",2000,"m","45-54",111
"1243","LV",2000,"m","55-64",64
"1244","LV",2000,"m","65+",34
"1245","LV",2000,"f","0-14",2
"1246","LV",2000,"f","15-24",25
"1247","LV",2000,"f","25-34",41
"1248","LV",2000,"f","35-44",27
"1249","LV",2000,"f","45-54",28
"1250","LV",2000,"f","55-64",7
"1251","LV",2000,"f","65+",15
"1252","LY",2000,"m","0-14",5
"1253","LY",2000,"m","15-24",101
"1254","LY",2000,"m","25-34",239
"1255","LY",2000,"m","35-44",86
"1256","LY",2000,"m","45-54",36
"1257","LY",2000,"m","55-64",29
"1258","LY",2000,"m","65+",32
"1259","LY",2000,"f","0-14",6
"1260","LY",2000,"f","15-24",43
"1261","LY",2000,"f","25-34",35
"1262","LY",2000,"f","35-44",24
"1263","LY",2000,"f","45-54",24
"1264","LY",2000,"f","55-64",16
"1265","LY",2000,"f","65+",22
"1266","MA",2000,"m","0-14",99
"1267","MA",2000,"m","15-24",2061
"1268","MA",2000,"m","25-34",2423
"1269","MA",2000,"m","35-44",1705
"1270","MA",2000,"m","45-54",855
"1271","MA",2000,"m","55-64",485
"1272","MA",2000,"m","65+",595
"1273","MA",2000,"f","0-14",170
"1274","MA",2000,"f","15-24",1530
"1275","MA",2000,"f","25-34",1121
"1276","MA",2000,"f","35-44",672
"1277","MA",2000,"f","45-54",398
"1278","MA",2000,"f","55-64",406
"1279","MA",2000,"f","65+",352
"1280","MD",2000,"m","0-14",2
"1281","MD",2000,"m","15-24",52
"1282","MD",2000,"m","25-34",31
"1283","MD",2000,"m","35-44",36
"1284","MD",2000,"m","45-54",13
"1285","MD",2000,"m","55-64",13
"1286","MD",2000,"m","65+",6
"1287","MD",2000,"f","0-14",1
"1288","MD",2000,"f","15-24",16
"1289","MD",2000,"f","25-34",32
"1290","MD",2000,"f","35-44",45
"1291","MD",2000,"f","45-54",23
"1292","MD",2000,"f","55-64",14
"1293","MD",2000,"f","65+",6
"1294","MH",2000,"m","0-14",3
"1295","MH",2000,"m","15-24",5
"1296","MH",2000,"m","25-34",4
"1297","MH",2000,"m","35-44",1
"1298","MH",2000,"m","45-54",3
"1299","MH",2000,"m","55-64",5
"1300","MH",2000,"m","65+",3
"1301","MH",2000,"f","0-14",7
"1302","MH",2000,"f","15-24",7
"1303","MH",2000,"f","25-34",3
"1304","MH",2000,"f","35-44",0
"1305","MH",2000,"f","45-54",2
"1306","MH",2000,"f","55-64",2
"1307","MH",2000,"f","65+",0
"1308","MK",2000,"m","0-14",5
"1309","MK",2000,"m","15-24",8
"1310","MK",2000,"m","25-34",14
"1311","MK",2000,"m","35-44",20
"1312","MK",2000,"m","45-54",19
"1313","MK",2000,"m","55-64",20
"1314","MK",2000,"m","65+",14
"1315","MK",2000,"f","0-14",1
"1316","MK",2000,"f","15-24",15
"1317","MK",2000,"f","25-34",14
"1318","MK",2000,"f","35-44",17
"1319","MK",2000,"f","45-54",5
"1320","MK",2000,"f","55-64",5
"1321","MK",2000,"f","65+",10
"1322","ML",2000,"m","0-14",23
"1323","ML",2000,"m","15-24",206
"1324","ML",2000,"m","25-34",430
"1325","ML",2000,"m","35-44",396
"1326","ML",2000,"m","45-54",297
"1327","ML",2000,"m","55-64",235
"1328","ML",2000,"m","65+",144
"1329","ML",2000,"f","0-14",14
"1330","ML",2000,"f","15-24",174
"1331","ML",2000,"f","25-34",232
"1332","ML",2000,"f","35-44",152
"1333","ML",2000,"f","45-54",106
"1334","ML",2000,"f","55-64",75
"1335","ML",2000,"f","65+",43
"1336","MM",2000,"m","0-14",88
"1337","MM",2000,"m","15-24",1459
"1338","MM",2000,"m","25-34",2636
"1339","MM",2000,"m","35-44",2781
"1340","MM",2000,"m","45-54",2161
"1341","MM",2000,"m","55-64",1235
"1342","MM",2000,"m","65+",836
"1343","MM",2000,"f","0-14",72
"1344","MM",2000,"f","15-24",1040
"1345","MM",2000,"f","25-34",1592
"1346","MM",2000,"f","35-44",1397
"1347","MM",2000,"f","45-54",987
"1348","MM",2000,"f","55-64",592
"1349","MM",2000,"f","65+",378
"1350","MN",2000,"m","0-14",6
"1351","MN",2000,"m","15-24",181
"1352","MN",2000,"m","25-34",260
"1353","MN",2000,"m","35-44",171
"1354","MN",2000,"m","45-54",68
"1355","MN",2000,"m","55-64",38
"1356","MN",2000,"m","65+",23
"1357","MN",2000,"f","0-14",32
"1358","MN",2000,"f","15-24",200
"1359","MN",2000,"f","25-34",213
"1360","MN",2000,"f","35-44",113
"1361","MN",2000,"f","45-54",41
"1362","MN",2000,"f","55-64",26
"1363","MN",2000,"f","65+",17
"1364","MO",2000,"m","0-14",0
"1365","MO",2000,"m","15-24",10
"1366","MO",2000,"m","25-34",8
"1367","MO",2000,"m","35-44",25
"1368","MO",2000,"m","45-54",22
"1369","MO",2000,"m","55-64",9
"1370","MO",2000,"m","65+",17
"1371","MO",2000,"f","0-14",0
"1372","MO",2000,"f","15-24",10
"1373","MO",2000,"f","25-34",4
"1374","MO",2000,"f","35-44",6
"1375","MO",2000,"f","45-54",6
"1376","MO",2000,"f","55-64",3
"1377","MO",2000,"f","65+",13
"1378","MP",2000,"m","0-14",1
"1379","MP",2000,"m","15-24",4
"1380","MP",2000,"m","25-34",8
"1381","MP",2000,"m","35-44",9
"1382","MP",2000,"m","45-54",9
"1383","MP",2000,"m","55-64",3
"1384","MP",2000,"m","65+",2
"1385","MP",2000,"f","0-14",0
"1386","MP",2000,"f","15-24",10
"1387","MP",2000,"f","25-34",17
"1388","MP",2000,"f","35-44",7
"1389","MP",2000,"f","45-54",3
"1390","MP",2000,"f","55-64",1
"1391","MP",2000,"f","65+",1
"1392","MT",2000,"m","0-14",0
"1393","MT",2000,"m","15-24",1
"1394","MT",2000,"m","25-34",0
"1395","MT",2000,"m","35-44",1
"1396","MT",2000,"m","45-54",1
"1397","MT",2000,"m","55-64",0
"1398","MT",2000,"m","65+",1
"1399","MU",2000,"m","0-14",2
"1400","MU",2000,"m","15-24",6
"1401","MU",2000,"m","25-34",9
"1402","MU",2000,"m","35-44",18
"1403","MU",2000,"m","45-54",19
"1404","MU",2000,"m","55-64",14
"1405","MU",2000,"m","65+",8
"1406","MU",2000,"f","0-14",1
"1407","MU",2000,"f","15-24",5
"1408","MU",2000,"f","25-34",8
"1409","MU",2000,"f","35-44",8
"1410","MU",2000,"f","45-54",6
"1411","MU",2000,"f","55-64",7
"1412","MU",2000,"f","65+",4
"1413","MV",2000,"m","0-14",0
"1414","MV",2000,"m","15-24",9
"1415","MV",2000,"m","25-34",10
"1416","MV",2000,"m","35-44",2
"1417","MV",2000,"m","45-54",5
"1418","MV",2000,"m","55-64",5
"1419","MV",2000,"m","65+",3
"1420","MV",2000,"f","0-14",0
"1421","MV",2000,"f","15-24",11
"1422","MV",2000,"f","25-34",4
"1423","MV",2000,"f","35-44",5
"1424","MV",2000,"f","45-54",4
"1425","MV",2000,"f","55-64",5
"1426","MV",2000,"f","65+",2
"1427","MW",2000,"m","0-14",50
"1428","MW",2000,"m","15-24",653
"1429","MW",2000,"m","25-34",1476
"1430","MW",2000,"m","35-44",1113
"1431","MW",2000,"m","45-54",585
"1432","MW",2000,"m","55-64",245
"1433","MW",2000,"m","65+",114
"1434","MW",2000,"f","0-14",66
"1435","MW",2000,"f","15-24",1038
"1436","MW",2000,"f","25-34",1481
"1437","MW",2000,"f","35-44",831
"1438","MW",2000,"f","45-54",401
"1439","MW",2000,"f","55-64",148
"1440","MW",2000,"f","65+",64
"1441","MX",2000,"m","0-14",214
"1442","MX",2000,"m","15-24",1079
"1443","MX",2000,"m","25-34",1387
"1444","MX",2000,"m","35-44",1162
"1445","MX",2000,"m","45-54",1235
"1446","MX",2000,"m","55-64",972
"1447","MX",2000,"m","65+",1126
"1448","MX",2000,"f","0-14",176
"1449","MX",2000,"f","15-24",663
"1450","MX",2000,"f","25-34",828
"1451","MX",2000,"f","35-44",698
"1452","MX",2000,"f","45-54",832
"1453","MX",2000,"f","55-64",595
"1454","MX",2000,"f","65+",709
"1455","MY",2000,"m","0-14",32
"1456","MY",2000,"m","15-24",694
"1457","MY",2000,"m","25-34",1138
"1458","MY",2000,"m","35-44",1177
"1459","MY",2000,"m","45-54",908
"1460","MY",2000,"m","55-64",814
"1461","MY",2000,"m","65+",891
"1462","MY",2000,"f","0-14",41
"1463","MY",2000,"f","15-24",464
"1464","MY",2000,"f","25-34",564
"1465","MY",2000,"f","35-44",424
"1466","MY",2000,"f","45-54",367
"1467","MY",2000,"f","55-64",356
"1468","MY",2000,"f","65+",286
"1469","NA",2000,"m","0-14",18
"1470","NA",2000,"m","15-24",269
"1471","NA",2000,"m","25-34",874
"1472","NA",2000,"m","35-44",665
"1473","NA",2000,"m","45-54",300
"1474","NA",2000,"m","55-64",147
"1475","NA",2000,"m","65+",81
"1476","NA",2000,"f","0-14",16
"1477","NA",2000,"f","15-24",352
"1478","NA",2000,"f","25-34",654
"1479","NA",2000,"f","35-44",348
"1480","NA",2000,"f","45-54",161
"1481","NA",2000,"f","55-64",76
"1482","NA",2000,"f","65+",52
"1483","NC",2000,"m","0-14",1
"1484","NC",2000,"m","15-24",1
"1485","NC",2000,"m","25-34",3
"1486","NC",2000,"m","35-44",4
"1487","NC",2000,"m","45-54",2
"1488","NC",2000,"m","55-64",3
"1489","NC",2000,"m","65+",4
"1490","NC",2000,"f","0-14",1
"1491","NC",2000,"f","15-24",8
"1492","NC",2000,"f","25-34",1
"1493","NC",2000,"f","35-44",1
"1494","NC",2000,"f","45-54",3
"1495","NC",2000,"f","55-64",2
"1496","NC",2000,"f","65+",4
"1497","NE",2000,"m","0-14",29
"1498","NE",2000,"m","15-24",270
"1499","NE",2000,"m","25-34",174
"1500","NE",2000,"m","35-44",441
"1501","NE",2000,"m","45-54",252
"1502","NE",2000,"m","55-64",151
"1503","NE",2000,"m","65+",78
"1504","NE",2000,"f","0-14",31
"1505","NE",2000,"f","15-24",123
"1506","NE",2000,"f","25-34",206
"1507","NE",2000,"f","35-44",168
"1508","NE",2000,"f","45-54",151
"1509","NE",2000,"f","55-64",63
"1510","NE",2000,"f","65+",9
"1511","NG",2000,"m","0-14",157
"1512","NG",2000,"m","15-24",2173
"1513","NG",2000,"m","25-34",3164
"1514","NG",2000,"m","35-44",1836
"1515","NG",2000,"m","45-54",1091
"1516","NG",2000,"m","55-64",566
"1517","NG",2000,"m","65+",463
"1518","NG",2000,"f","0-14",239
"1519","NG",2000,"f","15-24",2934
"1520","NG",2000,"f","25-34",2434
"1521","NG",2000,"f","35-44",1110
